[373]	train-rmse:0.010787	test-rmse:0.014773 
[374]	train-rmse:0.010775	test-rmse:0.014769 
[375]	train-rmse:0.010763	test-rmse:0.014768 
[376]	train-rmse:0.010752	test-rmse:0.014767 
[377]	train-rmse:0.010739	test-rmse:0.014764 
[378]	train-rmse:0.010727	test-rmse:0.014761 
[379]	train-rmse:0.010716	test-rmse:0.014760 
[380]	train-rmse:0.010703	test-rmse:0.014760 
[381]	train-rmse:0.010690	test-rmse:0.014758 
[382]	train-rmse:0.010680	test-rmse:0.014754 
[383]	train-rmse:0.010667	test-rmse:0.014753 
[384]	train-rmse:0.010655	test-rmse:0.014752 
[385]	train-rmse:0.010644	test-rmse:0.014750 
[386]	train-rmse:0.010632	test-rmse:0.014748 
[387]	train-rmse:0.010620	test-rmse:0.014746 
[388]	train-rmse:0.010611	test-rmse:0.014745 
[389]	train-rmse:0.010602	test-rmse:0.014744 
[390]	train-rmse:0.010586	test-rmse:0.014741 
[391]	train-rmse:0.010577	test-rmse:0.014739 
[392]	train-rmse:0.010566	test-rmse:0.014742 
[393]	train-rmse:0.010556	test-rmse:0.014739 
[394]	train-rmse:0.010542	test-rmse:0.014735 
[395]	train-rmse:0.010529	test-rmse:0.014734 
[396]	train-rmse:0.010520	test-rmse:0.014732 
[397]	train-rmse:0.010510	test-rmse:0.014729 
[398]	train-rmse:0.010501	test-rmse:0.014728 
[399]	train-rmse:0.010492	test-rmse:0.014726 
[400]	train-rmse:0.010480	test-rmse:0.014725 
[401]	train-rmse:0.010468	test-rmse:0.014721 
[402]	train-rmse:0.010457	test-rmse:0.014719 
[403]	train-rmse:0.010450	test-rmse:0.014717 
[404]	train-rmse:0.010441	test-rmse:0.014716 
[405]	train-rmse:0.010429	test-rmse:0.014712 
[406]	train-rmse:0.010416	test-rmse:0.014708 
[407]	train-rmse:0.010404	test-rmse:0.014706 
[408]	train-rmse:0.010393	test-rmse:0.014705 
[409]	train-rmse:0.010386	test-rmse:0.014704 
[410]	train-rmse:0.010374	test-rmse:0.014703 
[411]	train-rmse:0.010364	test-rmse:0.014703 
[412]	train-rmse:0.010348	test-rmse:0.014699 
[413]	train-rmse:0.010338	test-rmse:0.014697 
[414]	train-rmse:0.010329	test-rmse:0.014694 
[415]	train-rmse:0.010320	test-rmse:0.014693 
[416]	train-rmse:0.010311	test-rmse:0.014691 
[417]	train-rmse:0.010302	test-rmse:0.014688 
[418]	train-rmse:0.010294	test-rmse:0.014687 
[419]	train-rmse:0.010286	test-rmse:0.014686 
[420]	train-rmse:0.010277	test-rmse:0.014691 
[421]	train-rmse:0.010263	test-rmse:0.014689 
[422]	train-rmse:0.010253	test-rmse:0.014687 
[423]	train-rmse:0.010241	test-rmse:0.014684 
[424]	train-rmse:0.010233	test-rmse:0.014682 
[425]	train-rmse:0.010224	test-rmse:0.014682 
[426]	train-rmse:0.010218	test-rmse:0.014682 
[427]	train-rmse:0.010206	test-rmse:0.014679 
[428]	train-rmse:0.010200	test-rmse:0.014679 
[429]	train-rmse:0.010189	test-rmse:0.014676 
[430]	train-rmse:0.010179	test-rmse:0.014674 
[431]	train-rmse:0.010166	test-rmse:0.014671 
[432]	train-rmse:0.010158	test-rmse:0.014669 
[433]	train-rmse:0.010151	test-rmse:0.014668 
[434]	train-rmse:0.010139	test-rmse:0.014667 
[435]	train-rmse:0.010133	test-rmse:0.014667 
[436]	train-rmse:0.010125	test-rmse:0.014666 
[437]	train-rmse:0.010115	test-rmse:0.014666 
[438]	train-rmse:0.010107	test-rmse:0.014663 
[439]	train-rmse:0.010099	test-rmse:0.014666 
[440]	train-rmse:0.010093	test-rmse:0.014665 
[441]	train-rmse:0.010084	test-rmse:0.014667 
[442]	train-rmse:0.010078	test-rmse:0.014666 
[443]	train-rmse:0.010069	test-rmse:0.014664 
[444]	train-rmse:0.010058	test-rmse:0.014666 
[445]	train-rmse:0.010049	test-rmse:0.014666 
[446]	train-rmse:0.010039	test-rmse:0.014663 
[447]	train-rmse:0.010023	test-rmse:0.014656 
[448]	train-rmse:0.010017	test-rmse:0.014655 
[449]	train-rmse:0.010010	test-rmse:0.014654 
[450]	train-rmse:0.009997	test-rmse:0.014651 
[451]	train-rmse:0.009990	test-rmse:0.014650 
[452]	train-rmse:0.009981	test-rmse:0.014649 
[453]	train-rmse:0.009974	test-rmse:0.014649 
[454]	train-rmse:0.009965	test-rmse:0.014649 
[455]	train-rmse:0.009954	test-rmse:0.014646 
[456]	train-rmse:0.009947	test-rmse:0.014645 
[457]	train-rmse:0.009939	test-rmse:0.014644 
[458]	train-rmse:0.009930	test-rmse:0.014640 
[459]	train-rmse:0.009923	test-rmse:0.014637 
[460]	train-rmse:0.009911	test-rmse:0.014640 
[461]	train-rmse:0.009906	test-rmse:0.014646 
[462]	train-rmse:0.009894	test-rmse:0.014643 
[463]	train-rmse:0.009886	test-rmse:0.014640 
[464]	train-rmse:0.009878	test-rmse:0.014638 
[465]	train-rmse:0.009874	test-rmse:0.014637 
[466]	train-rmse:0.009863	test-rmse:0.014633 
[467]	train-rmse:0.009857	test-rmse:0.014632 
[468]	train-rmse:0.009851	test-rmse:0.014631 
[469]	train-rmse:0.009844	test-rmse:0.014629 
[470]	train-rmse:0.009835	test-rmse:0.014628 
[471]	train-rmse:0.009827	test-rmse:0.014625 
[472]	train-rmse:0.009821	test-rmse:0.014624 
[473]	train-rmse:0.009810	test-rmse:0.014624 
[474]	train-rmse:0.009801	test-rmse:0.014624 
[475]	train-rmse:0.009794	test-rmse:0.014621 
[476]	train-rmse:0.009789	test-rmse:0.014621 
[477]	train-rmse:0.009781	test-rmse:0.014620 
[478]	train-rmse:0.009775	test-rmse:0.014619 
[479]	train-rmse:0.009764	test-rmse:0.014616 
[480]	train-rmse:0.009754	test-rmse:0.014613 
[481]	train-rmse:0.009746	test-rmse:0.014609 
[482]	train-rmse:0.009738	test-rmse:0.014608 
[483]	train-rmse:0.009734	test-rmse:0.014608 
[484]	train-rmse:0.009727	test-rmse:0.014606 
[485]	train-rmse:0.009721	test-rmse:0.014605 
[486]	train-rmse:0.009717	test-rmse:0.014605 
[487]	train-rmse:0.009708	test-rmse:0.014606 
[488]	train-rmse:0.009699	test-rmse:0.014603 
[489]	train-rmse:0.009693	test-rmse:0.014600 
[490]	train-rmse:0.009687	test-rmse:0.014599 
[491]	train-rmse:0.009680	test-rmse:0.014598 
[492]	train-rmse:0.009677	test-rmse:0.014599 
[493]	train-rmse:0.009669	test-rmse:0.014594 
[494]	train-rmse:0.009664	test-rmse:0.014604 
[495]	train-rmse:0.009658	test-rmse:0.014602 
[496]	train-rmse:0.009649	test-rmse:0.014599 
[497]	train-rmse:0.009643	test-rmse:0.014598 
[498]	train-rmse:0.009637	test-rmse:0.014595 
[499]	train-rmse:0.009629	test-rmse:0.014589 
[500]	train-rmse:0.009620	test-rmse:0.014589 
[501]	train-rmse:0.009613	test-rmse:0.014586 
[502]	train-rmse:0.009604	test-rmse:0.014586 
[503]	train-rmse:0.009595	test-rmse:0.014582 
[504]	train-rmse:0.009588	test-rmse:0.014579 
[505]	train-rmse:0.009579	test-rmse:0.014577 
[506]	train-rmse:0.009572	test-rmse:0.014575 
[507]	train-rmse:0.009562	test-rmse:0.014574 
[508]	train-rmse:0.009556	test-rmse:0.014572 
[509]	train-rmse:0.009548	test-rmse:0.014571 
[510]	train-rmse:0.009544	test-rmse:0.014570 
[511]	train-rmse:0.009534	test-rmse:0.014569 
[512]	train-rmse:0.009528	test-rmse:0.014568 
[513]	train-rmse:0.009522	test-rmse:0.014567 
[514]	train-rmse:0.009515	test-rmse:0.014564 
[515]	train-rmse:0.009511	test-rmse:0.014563 
[516]	train-rmse:0.009506	test-rmse:0.014562 
[517]	train-rmse:0.009497	test-rmse:0.014560 
[518]	train-rmse:0.009493	test-rmse:0.014558 
